,Food Bank,ID,Total Population,2021 Food Insecurity %,2021 Food Insecurity #,address,city,zip_code,state,statecode,latitude,longitude,lbs_distr,program_budget,metro gdp per capita,estimated_budget,estimated_pounds_per_year
169,West Ohio Food Bank,285,504131,0.127,63860,1380 East Kibby Street|P.O. Box 1566,Lima,45804,Ohio,OH,40.7275,-84.089,,,45497.0,22196125.98013445,14737555.732982408
170,H and J Weinberg NE PA Regional Food Bank,287,596612,0.139,82950,185 Research Drive,Pittston,18640,Pennsylvania,PA,41.3175,-75.7885,,,,26998297.141655933,17243026.314100627
171,Food Bank of the Golden Crescent,290,303970,0.174,52770,3809 E. Rio Grande|P.O.Box 5085,Victoria,77901,Texas,TX,28.809,-96.9993,,,45609.0,19406389.040308714,13282046.631641336
172,"Second Harvest of South Georgia, Inc",291,614713,0.172,105560,1411 Harbin Circle,Valdosta,31601,Georgia,GA,30.7539,-83.3321,,,30104.0,32685939.36072355,20210479.946320787
173,Westmoreland County Food Bank,294,352590,0.11699999999999999,41140,100 Devonshire Drive,Delmont,15626,Pennsylvania,PA,40.4139,-79.5764,,,,16480812.790518515,11755665.13041531
174,Philabundance,296,5420413,0.11699999999999999,636880,3616 S. Galloway Street,Philadelphia,19148,Pennsylvania,PA,39.9207,-75.1595,,,63519.0,166341758.19464687,89943671.62572005
175,City Harvest,297,4209658,0.171,1437320,"6 East 32nd Street, 5th Fl.",New York,10016,New York,NY,40.7443,-73.9781,,,71084.0,367695864.24641526,194997567.48482257
176,Greater Baton Rouge Food Bank,298,875626,0.14800000000000002,129250,10600 S. Choctaw Drive|Post Office Box 45830,Baton Rouge,70815,Louisiana,LA,30.4558,-91.0596,,,53965.0,38645260.1997201,23319678.378310867
177,Hoosier Hills Food Bank,303,257665,0.15,38750,2333 West Industrial Park Drive|PO Box 697,Bloomington,47404,Indiana,IN,39.195,-86.5757,,,37866.0,15879598.06678691,11441989.138331886
178,Food Gatherers,305,367000,0.11599999999999999,42450,1 Carrot Way|P.O. Box 131037,Ann Arbor,48105,Michigan,MI,42.3042,-83.7068,,,55887.0,16810348.894321196,11927596.322728816
179,Forgotten Harvest,306,3880809,0.158,612350,21800 Greenfield Road,Oak Park,48237,Michigan,MI,42.4662,-83.184,,,,160171131.76237226,86724227.23835337
180,Inter-Faith Food Shuttle,309,1940649,0.126,244820,1001 Blair Drive,Raleigh,27620,North Carolina,NC,35.7977,-78.6253,,,54398.0,67717388.07489234,38487684.40554149
181,"FULFILL - (The FoodBank of Monmouth and Ocean Counties, Inc.)",310,1218074,0.11199999999999999,136440,3300 Route 66,Neptune,7753,New Jersey,NJ,40.2096,-74.0714,,,,40453935.45646915,24263331.258260578
182,Island Harvest,311,1420170,0.069,196360,126 Spagnoli Road,Melville,11747,New York,NY,40.7946,-73.403,,,,55527067.77697033,32127542.741791416
183,"Harvest Regional Food Bank, Inc.",316,251209,0.183,46080,3120 East 19th Street|P.O. Box 707,Texarkana,71854,Arkansas,AR,33.431,-93.8765,,,30869.0,17723490.922415644,12404016.344177697
184,St. Mary's Food Bank,319,5519420,0.146,804030,2831 N. 31st Avenue,Phoenix,85009,Arizona,AZ,33.4564,-112.1284,,,44534.0,208389055.71420246,111881304.29381382
185,Montana Food Bank Network,320,1050649,0.11,115160,5625 Expressway,Missoula,59808,Montana,MT,46.9776,-114.0619,,,40930.0,35100860.42675845,21470433.722053368
186,Southeast Texas Food Bank,323,525496,0.20600000000000002,108310,3845 Martin Luther King Parkway|P O Box 21012,Beaumont,77705,Texas,TX,30.0211,-94.1157,,,48838.0,33377713.624431465,20571404.204994187
187,Food Bank of Northeast Georgia,324,550707,0.145,79950,861 Newton Bridge Road|P.O. Box 48857,Athens,30604,Georgia,GA,33.9443,-83.3891,,,40533.0,26243634.308520027,16849290.759184197
188,Food Bank of Northwest Louisiana,326,476975,0.18,85730,2307 Texas Avenue,Shreveport,71103,Louisiana,LA,32.4945,-93.7727,,,45807.0,27697618.03369521,17607887.928323187
189,Food Bank of Northeast Louisiana,339,351166,0.18899999999999997,66260,4600 Central Ave|PO Box 5048,Monroe,71211,Louisiana,LA,32.4908,-92.1594,,,29928.0,22799856.246643174,15052544.176915552
190,Food Finders Food Bank Inc.,369,590962,0.139,82250,1204 Greenbush Street,Lafayette,47904,Indiana,IN,40.4276,-86.8735,,,39233.0,26822209.147257555,17151154.684620127
191,Feeding Northeast Florida,370,1713944,0.135,231800,"1116 Edgewood Avenue North, Units D and E",Jacksonville,32254,Florida,FL,30.3415,-81.7358,,,29803.0,64442151.3790825,36778872.09720418
192,Treasure Coast Food Bank,563,667145,0.132,87970,401 Angle Rd.,Ft. Pierce,34947,Florida,FL,27.4493,-80.3592,,,,28261099.61577002,17901877.14266079
193,Yuma Community Food Bank,603,230261,0.17800000000000002,41040,2404 E 24th St. Ste. A,Yuma,85365,Arizona,AZ,32.7093,-114.4905,,,29755.0,16455657.362747319,11742540.611918095
194,Northwest Arkansas Food Bank,611,542224,0.145,78800,1378 June Self Drive,Bethel Heights,72764,Arkansas,AR,36.1716,-94.0428,,,,25954346.889151264,16698358.796466231
195,South Texas Food Bank,627,478379,0.20800000000000002,99310,2121 Jefferson St.,Laredo,78040,Texas,TX,27.5155,-99.4986,,,25803.0,31113725.125023745,19390197.540244892
196,El Pasoans Fighting Hunger,726,842691,0.179,150700,9541 Plaza Circle,El Paso,79927,Texas,TX,31.6446,-106.2737,,,29985.0,44041099.45664183,26134887.595963344
